Region,Year,Wine,Beer,Vodka,Sparkling wine,Brandy,Сider,Liqueurs,Total alcohol consumption (in liters of pure alcohol per capita)
Tula Oblast,2020,3.48,39.05,4.47,0.96,0.75,0.53,0.68,5.5
Yaroslavl Oblast,2020,5.27,51.87,7.59,1.37,1.12,0.62,0.75,8.1
Moscow,2020,5.44,30.24,4.23,1.86,1.00,0.75,0.49,5.4
Republic of Karelia,2020,7.23,89.78,11.13,1.39,1.52,0.92,1.49,12.4
Komi Republic,2020,5.02,72.65,12.14,1.51,1.25,0.45,1.03,11.3
Nenets Autonomous Okrug,2020,8.01,54.35,9.89,1.95,1.16,0.33,0.53,9.7
Vologda Oblast,2020,4.87,54.79,9.23,0.97,0.93,0.49,1.08,9.
Kaliningrad Oblast,2020,6.18,45.88,5.85,1.41,0.94,1.78,0.96,7.5
Leningrad Oblast,2020,6.77,53.15,8.04,1.68,1.58,1.00,0.88,9.
Murmansk Oblast,2020,5.91,74.43,8.66,1.99,2.02,0.86,0.98,10.6
Novgorod Oblast,2020,4.54,50.79,6.51,1.12,1.06,0.62,0.88,7.6
Pskov Oblast,2020,4.68,52.63,5.99,1.37,0.96,0.72,0.74,7.6
Saint Petersburg,2020,7.20,34.09,4.86,2.03,1.32,1.25,0.68,6.5
Arkhangelsk Oblast,2020,6.03,51.87,9.58,1.59,1.16,0.56,0.84,9.3
Republic of Adygea,2020,1.69,73.78,2.94,0.84,0.50,0.51,0.22,5.9
Republic of Kalmykia,2020,0.96,20.81,3.83,0.24,0.38,0.08,0.20,3.3
Republic of Crimea,2020,4.90,56.78,4.21,1.80,1.04,0.62,0.38,6.4
Krasnodar Krai,2020,3.87,42.37,3.36,1.66,0.78,0.36,0.35,5.1
Astrakhan Oblast,2020,1.90,35.95,4.03,0.61,0.58,0.24,0.37,4.7
Volgograd Oblast,2020,2.23,34.83,3.05,1.00,0.54,0.25,0.37,4.3
Rostov Oblast,2020,2.11,30.05,2.67,1.07,0.58,0.35,0.28,3.8
Sevastopol,2020,5.95,40.94,5.44,3.01,1.28,0.56,0.50,6.6
Republic of Dagestan,2020,0.25,5.06,1.02,0.09,0.21,0.00,0.01,0.8
Republic of Ingushetia,2020,0.02,0.38,0.30,0.00,0.03,0.00,0.01,0.2
Kabardino-Balkar Republic,2020,0.34,8.20,0.51,0.17,0.17,0.02,0.03,0.8
Karachay-Cherkess Republic,2020,0.53,26.23,1.05,0.21,0.19,0.02,0.09,2.
Republic of North Ossetia-Alania,2020,0.40,3.89,0.44,0.41,0.13,0.03,0.04,0.7
Chechen Republic,2020,0.04,1.30,0.27,0.00,0.02,0.00,0.00,0.2
Stavropol Krai,2020,1.57,20.87,2.14,0.80,0.42,0.15,0.28,2.8
Republic of Bashkortostan,2020,2.32,40.61,5.60,0.73,0.54,0.25,0.72,5.6
Mari El Republic,2020,2.38,41.54,6.04,0.56,0.62,0.26,0.76,6.2
